CONCEPT	rope	ruler	sack	saddle	sailboat	salamander	salmon	sandals	sandpaper	sardine	saucer	saxophone	scarf	scissors	scooter	screwdriver	screws	seagull	seal	seaweed	shack	shawl	shed	sheep	shell	shelves	shield	ship	shirt	shoes	shotgun	shovel	shrimp	sink	skateboard	skillet	skirt	skis	skunk	skyscraper	sled	sledgehammer	sleigh	slingshot	slippers	snail	socks	sofa	spade	sparrow	spatula	spear	spider	spinach	spoon	squid	squirrel	starling	stereo	stick	stone	stool_(furniture)	stork	stove	strainer	strawberry	submarine	subway	surfboard	swan	sweater	swimsuit	sword	table	tack	tangerine	tank_(army)	tank_(container)	tap	tape_(scotch)	taxi	telephone	tent	thermometer	thimble	tie	tiger	toad	toaster	toilet	tomahawk	tomato	tongs	tortoise	toy	tractor	trailer	train	tray	tricycle	tripod	trolley	trombone	trousers	trout	truck	trumpet	tuba	tuna	turkey	turnip	turtle	typewriter	umbrella	unicycle	urn	van	veil	vest	vine	violin	vulture	wagon	wall	walnut	walrus	wand	wasp	whale	wheel	wheelbarrow	whip	whistle	willow	woodpecker	worm	wrench	yacht	yam	zebra	zucchini
slippers	0.000	0.000	0.000	0.083	0.000	0.000	0.000	0.197	0.000	0.000	0.000	0.000	0.343	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.364	0.000	0.000	0.000	0.000	0.000	0.000	0.161	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.043	0.097	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.501	0.185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.000	0.275	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
snail	0.000	0.000	0.000	0.000	0.029	0.263	0.098	0.000	0.000	0.211	0.000	0.000	0.000	0.000	0.105	0.000	0.038	0.000	0.046	0.256	0.080	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.347	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.060	0.000	0.000	0.049	0.031	0.000	0.234	0.050	0.046	0.000	0.000	0.032	0.045	0.000	0.000	0.000	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.082	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.000	0.125	0.000	0.000	0.000	0.051	0.000	0.546	0.000	0.104	0.000	0.000	0.000	0.099	0.000	0.048	0.000	0.000	0.111	0.000	0.000	0.000	0.090	0.034	0.096	0.430	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.279	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.068	0.000	0.000	0.289	0.000	0.000	0.079	0.000	0.000
socks	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.000	0.060	0.000	0.000	0.398	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.039	0.515	0.000	0.000	0.056	0.000	0.000	0.000	0.311	0.227	0.000	0.000	0.000	0.000	0.000	0.000	0.152	0.171	0.000	0.000	0.025	0.000	0.000	0.000	0.501	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.000	0.000	0.024	0.028	0.000	0.564	0.109	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.240	0.022	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	0.000	0.130	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
sofa	0.000	0.000	0.000	0.070	0.000	0.067	0.000	0.063	0.000	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.185	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.116	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.000	0.201	0.071	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.138	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.093	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.038	0.000
spade	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.080	0.000	0.142	0.049	0.280	0.132	0.000	0.000	0.000	0.046	0.000	0.038	0.066	0.000	0.058	0.187	0.000	0.000	0.000	0.129	0.519	0.000	0.044	0.000	0.204	0.000	0.000	0.144	0.000	0.043	0.260	0.058	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.217	0.040	0.073	0.000	0.136	0.000	0.000	0.047	0.000	0.000	0.000	0.073	0.000	0.035	0.137	0.000	0.108	0.000	0.000	0.000	0.000	0.000	0.187	0.000	0.089	0.000	0.101	0.129	0.134	0.000	0.000	0.000	0.000	0.000	0.147	0.000	0.068	0.000	0.064	0.000	0.110	0.000	0.222	0.000	0.000	0.052	0.000	0.045	0.089	0.059	0.097	0.077	0.000	0.000	0.000	0.000	0.061	0.039	0.000	0.000	0.000	0.000	0.054	0.193	0.000	0.072	0.000	0.046	0.000	0.000	0.000	0.000	0.086	0.000	0.000	0.000	0.065	0.062	0.000	0.037	0.100	0.107	0.143	0.000	0.000	0.000	0.326	0.000	0.000	0.129	0.000
sparrow	0.000	0.000	0.000	0.000	0.038	0.181	0.112	0.000	0.000	0.098	0.000	0.000	0.000	0.000	0.039	0.000	0.050	0.600	0.062	0.000	0.104	0.000	0.072	0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.129	0.000	0.000	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.000	0.060	0.000	0.000	0.000	1.000	0.000	0.000	0.091	0.000	0.000	0.000	0.160	0.850	0.000	0.000	0.042	0.058	0.503	0.000	0.000	0.033	0.000	0.000	0.000	0.394	0.000	0.000	0.000	0.000	0.106	0.078	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.070	0.070	0.000	0.000	0.000	0.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.070	0.000	0.062	0.000	0.000	0.091	0.000	0.000	0.000	0.000	0.380	0.000	0.180	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.508	0.000	0.000	0.033	0.128	0.000	0.333	0.047	0.000	0.000	0.000	0.087	0.000	0.640	0.055	0.000	0.000	0.000	0.080	0.000
spatula	0.074	0.179	0.000	0.000	0.000	0.000	0.000	0.045	0.000	0.000	0.050	0.062	0.056	0.160	0.038	0.218	0.103	0.000	0.000	0.020	0.115	0.000	0.080	0.000	0.000	0.192	0.166	0.017	0.000	0.000	0.100	0.249	0.000	0.122	0.083	0.454	0.066	0.091	0.000	0.000	0.177	0.263	0.138	0.033	0.000	0.000	0.000	0.000	0.217	0.000	1.000	0.119	0.000	0.000	0.395	0.000	0.000	0.000	0.000	0.162	0.000	0.141	0.000	0.328	0.488	0.000	0.084	0.000	0.182	0.000	0.000	0.000	0.243	0.176	0.069	0.000	0.079	0.233	0.177	0.022	0.000	0.103	0.000	0.031	0.156	0.027	0.000	0.000	0.311	0.000	0.127	0.000	0.471	0.000	0.000	0.041	0.000	0.035	0.365	0.046	0.075	0.060	0.033	0.000	0.000	0.000	0.047	0.031	0.000	0.000	0.000	0.000	0.042	0.263	0.000	0.056	0.000	0.000	0.000	0.056	0.038	0.000	0.120	0.116	0.000	0.000	0.102	0.000	0.000	0.065	0.103	0.131	0.255	0.033	0.000	0.097	0.183	0.000	0.000	0.000	0.050
spear	0.155	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.097	0.155	0.000	0.153	0.119	0.000	0.000	0.036	0.057	0.000	0.037	0.000	0.000	0.052	0.085	0.012	0.000	0.000	0.392	0.086	0.000	0.000	0.089	0.047	0.115	0.150	0.000	0.000	0.048	0.137	0.027	0.416	0.000	0.000	0.000	0.000	0.040	0.000	0.119	1.000	0.000	0.000	0.036	0.000	0.000	0.000	0.000	0.295	0.156	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.180	0.000	0.000	0.000	0.565	0.062	0.210	0.000	0.000	0.000	0.000	0.038	0.000	0.000	0.000	0.054	0.000	0.067	0.033	0.000	0.000	0.000	0.345	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.000	0.046	0.000	0.000	0.000	0.000	0.000	0.097	0.027	0.000	0.042	0.030	0.000	0.000	0.177	0.027	0.000	0.000	0.019	0.260	0.000	0.057	0.000	0.196	0.016	0.000	0.000	0.000	0.087
spider	0.000	0.000	0.000	0.000	0.057	0.230	0.025	0.000	0.000	0.080	0.000	0.000	0.000	0.000	0.032	0.000	0.041	0.011	0.012	0.000	0.085	0.000	0.059	0.184	0.000	0.000	0.013	0.037	0.000	0.000	0.000	0.000	0.124	0.000	0.000	0.000	0.000	0.000	0.214	0.010	0.000	0.010	0.000	0.000	0.000	0.049	0.000	0.116	0.073	0.091	0.000	0.000	1.000	0.000	0.000	0.000	0.150	0.094	0.000	0.000	0.034	0.161	0.198	0.000	0.000	0.027	0.032	0.000	0.000	0.014	0.000	0.000	0.000	0.097	0.087	0.064	0.043	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.062	0.000	0.051	0.138	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.026	0.018	0.000	0.000	0.057	0.000	0.071	0.018	0.125	0.022	0.041	0.000	0.041	0.015	0.023	0.000	0.167	0.000	0.017	0.000	0.000	0.029	0.027	0.000	0.000	0.000	0.029	0.000	0.000	0.027	0.045	0.039	0.202	0.055	0.000	0.000	0.039	0.071	0.021	0.050	0.061	0.000	0.041	0.000	0.077	0.000
spinach	0.000	0.000	0.000	0.000	0.000	0.129	0.046	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.066	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.254	0.000	0.000	0.000	0.321	0.000	0.157	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.042	0.016	0.450	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.430	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.253	0.000	0.000	0.000	0.000	0.323	0.000	0.645
spoon	0.000	0.131	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.066	0.000	0.113	0.040	0.103	0.109	0.000	0.000	0.000	0.140	0.000	0.097	0.000	0.000	0.150	0.181	0.022	0.000	0.000	0.107	0.143	0.000	0.098	0.072	0.163	0.000	0.033	0.000	0.000	0.139	0.223	0.110	0.043	0.000	0.000	0.000	0.000	0.136	0.000	0.395	0.036	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.116	0.000	0.169	0.000	0.084	0.282	0.000	0.089	0.000	0.026	0.000	0.000	0.000	0.109	0.149	0.097	0.000	0.084	0.191	0.162	0.000	0.000	0.025	0.000	0.000	0.156	0.000	0.000	0.000	0.114	0.000	0.056	0.000	0.350	0.000	0.000	0.043	0.000	0.037	0.117	0.048	0.080	0.064	0.000	0.000	0.000	0.000	0.050	0.032	0.000	0.000	0.000	0.000	0.045	0.123	0.000	0.060	0.000	0.000	0.000	0.000	0.049	0.000	0.080	0.053	0.000	0.000	0.000	0.000	0.000	0.030	0.116	0.015	0.153	0.000	0.000	0.000	0.156	0.000	0.000	0.000	0.000
squid	0.000	0.000	0.000	0.000	0.000	0.293	0.513	0.000	0.000	0.384	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.358	0.304	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.546	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.066	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.139	0.000	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.145	0.000	0.000	0.000	0.108	0.000	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.540	0.000	0.000	0.000	0.462	0.071	0.202	0.197	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.229	0.185	0.000	0.000	0.213	0.000	0.000	0.000	0.000	0.000	0.000	0.087	0.000	0.000	0.167	0.000	0.000
squirrel	0.000	0.000	0.000	0.056	0.032	0.248	0.092	0.029	0.044	0.082	0.000	0.000	0.000	0.000	0.076	0.000	0.042	0.056	0.141	0.000	0.087	0.000	0.061	0.342	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.157	0.000	0.023	0.000	0.000	0.000	0.315	0.000	0.029	0.000	0.000	0.000	0.000	0.050	0.000	0.054	0.000	0.160	0.000	0.000	0.150	0.000	0.000	0.000	1.000	0.171	0.000	0.000	0.081	0.114	0.158	0.000	0.000	0.028	0.000	0.074	0.000	0.000	0.000	0.000	0.000	0.073	0.089	0.066	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.064	0.000	0.143	0.312	0.000	0.000	0.000	0.000	0.000	0.114	0.000	0.000	0.000	0.061	0.000	0.059	0.000	0.052	0.000	0.040	0.066	0.000	0.000	0.000	0.000	0.105	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.025	0.221	0.000	0.000	0.141	0.249	0.000	0.047	0.206	0.000	0.000	0.000	0.074	0.056	0.222	0.103	0.000	0.000	0.000	0.236	0.000
starling	0.000	0.000	0.000	0.000	0.029	0.106	0.050	0.000	0.000	0.075	0.000	0.000	0.000	0.000	0.030	0.000	0.038	0.633	0.000	0.000	0.080	0.000	0.055	0.092	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.099	0.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.046	0.000	0.000	0.047	0.850	0.000	0.000	0.094	0.000	0.000	0.000	0.171	1.000	0.000	0.000	0.032	0.044	0.595	0.000	0.000	0.025	0.000	0.000	0.000	0.381	0.000	0.000	0.000	0.000	0.081	0.060	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.059	0.000	0.026	0.137	0.000	0.000	0.000	0.000	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.047	0.000	0.000	0.043	0.000	0.000	0.000	0.000	0.412	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.017	0.000	0.000	0.000	0.619	0.000	0.000	0.025	0.000	0.025	0.337	0.063	0.000	0.000	0.025	0.067	0.000	0.704	0.042	0.000	0.000	0.000	0.049	0.000
stereo	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.077	0.000	0.000	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.025	0.000	0.000	0.000	0.000	0.050	0.000	0.000	0.000	0.085	0.060	0.000	0.000	0.000	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.055	0.000	0.019	0.000	0.000	0.090	0.000	0.000	0.000
stick	0.238	0.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.136	0.000	0.000	0.050	0.000	0.000	0.000	0.050	0.322	0.000	0.208	0.000	0.056	0.290	0.107	0.069	0.000	0.000	0.031	0.000	0.000	0.000	0.294	0.000	0.161	0.304	0.000	0.000	0.268	0.290	0.152	0.204	0.000	0.000	0.000	0.000	0.000	0.000	0.162	0.295	0.000	0.000	0.116	0.000	0.000	0.000	0.000	1.000	0.095	0.345	0.000	0.000	0.000	0.000	0.000	0.000	0.314	0.000	0.000	0.000	0.194	0.348	0.000	0.000	0.000	0.000	0.000	0.054	0.000	0.000	0.000	0.075	0.000	0.109	0.000	0.000	0.000	0.000	0.139	0.000	0.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.136	0.154	0.000	0.107	0.168	0.055	0.000	0.247	0.000	0.000	0.000	0.104	0.252	0.000	0.110	0.000	0.237	0.000	0.000	0.000	0.000	0.122
stone	0.000	0.000	0.000	0.028	0.020	0.075	0.000	0.000	0.000	0.053	0.089	0.000	0.000	0.000	0.021	0.000	0.123	0.058	0.031	0.000	0.056	0.000	0.039	0.000	0.232	0.000	0.021	0.000	0.000	0.000	0.030	0.000	0.070	0.000	0.000	0.040	0.000	0.000	0.016	0.000	0.000	0.193	0.000	0.064	0.000	0.032	0.000	0.000	0.000	0.042	0.000	0.156	0.034	0.000	0.000	0.000	0.081	0.032	0.000	0.095	1.000	0.094	0.000	0.000	0.040	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.075	0.058	0.057	0.092	0.028	0.000	0.000	0.000	0.000	0.000	0.000	0.031	0.041	0.000	0.000	0.023	0.000	0.000	0.101	0.087	0.000	0.000	0.000	0.000	0.000	0.000	0.034	0.038	0.000	0.033	0.000	0.000	0.000	0.022	0.000	0.033	0.000	0.000	0.032	0.071	0.033	0.043	0.000	0.058	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.246	0.076	0.045	0.030	0.000	0.141	0.069	0.028	0.047	0.000	0.000	0.030	0.031	0.000	0.000	0.000	0.000
stool_(furniture)	0.000	0.184	0.000	0.092	0.028	0.185	0.000	0.000	0.000	0.073	0.096	0.047	0.000	0.069	0.058	0.045	0.116	0.000	0.000	0.000	0.408	0.000	0.272	0.106	0.000	0.308	0.192	0.065	0.000	0.000	0.077	0.039	0.096	0.026	0.213	0.099	0.000	0.099	0.097	0.163	0.278	0.317	0.178	0.128	0.000	0.045	0.000	0.201	0.073	0.058	0.141	0.061	0.161	0.000	0.169	0.000	0.114	0.044	0.000	0.345	0.094	1.000	0.070	0.021	0.125	0.025	0.064	0.000	0.078	0.000	0.000	0.000	0.052	0.492	0.132	0.112	0.060	0.077	0.080	0.000	0.000	0.000	0.000	0.033	0.145	0.000	0.000	0.055	0.038	0.023	0.071	0.094	0.132	0.031	0.000	0.045	0.000	0.027	0.090	0.104	0.057	0.092	0.000	0.047	0.000	0.000	0.036	0.023	0.000	0.000	0.034	0.102	0.032	0.095	0.040	0.106	0.000	0.000	0.000	0.000	0.145	0.000	0.119	0.158	0.024	0.000	0.049	0.041	0.000	0.175	0.158	0.000	0.150	0.000	0.000	0.041	0.102	0.000	0.000	0.062	0.000
stork	0.000	0.000	0.000	0.000	0.039	0.072	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.082	0.000	0.000	0.000	0.000	0.235	0.000	0.000	0.020	0.056	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.186	0.016	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.503	0.000	0.000	0.198	0.000	0.000	0.000	0.158	0.595	0.000	0.000	0.000	0.070	1.000	0.000	0.000	0.000	0.049	0.000	0.000	0.415	0.000	0.000	0.000	0.059	0.000	0.000	0.065	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017	0.122	0.000	0.090	0.000	0.000	0.000	0.016	0.000	0.040	0.027	0.000	0.000	0.000	0.000	0.032	0.028	0.076	0.000	0.063	0.000	0.062	0.023	0.314	0.058	0.069	0.000	0.026	0.000	0.000	0.044	0.078	0.000	0.000	0.000	0.517	0.000	0.000	0.000	0.068	0.000	0.157	0.135	0.000	0.000	0.000	0.000	0.032	0.493	0.000	0.000	0.063	0.000	0.086	0.000
stove	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.023	0.000	0.033	0.014	0.021	0.038	0.000	0.000	0.000	0.013	0.000	0.011	0.000	0.000	0.017	0.053	0.000	0.000	0.000	0.037	0.019	0.000	0.126	0.000	0.401	0.000	0.000	0.000	0.000	0.012	0.045	0.017	0.000	0.000	0.000	0.000	0.000	0.035	0.000	0.328	0.000	0.000	0.000	0.084	0.000	0.000	0.000	0.077	0.000	0.000	0.021	0.000	1.000	0.270	0.000	0.031	0.042	0.000	0.000	0.000	0.000	0.025	0.070	0.025	0.000	0.029	0.037	0.132	0.000	0.000	0.000	0.000	0.000	0.042	0.000	0.000	0.000	0.727	0.000	0.000	0.000	0.144	0.000	0.000	0.015	0.000	0.013	0.025	0.017	0.027	0.022	0.000	0.000	0.000	0.000	0.017	0.011	0.000	0.000	0.000	0.000	0.015	0.023	0.000	0.021	0.000	0.000	0.000	0.000	0.000	0.000	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.029	0.000	0.041	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.000
strainer	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.041	0.000	0.000	0.062	0.089	0.000	0.195	0.055	0.085	0.149	0.000	0.000	0.000	0.052	0.000	0.042	0.000	0.000	0.104	0.210	0.000	0.000	0.000	0.145	0.074	0.000	0.200	0.000	0.329	0.000	0.000	0.000	0.000	0.120	0.179	0.117	0.000	0.000	0.000	0.138	0.000	0.137	0.000	0.488	0.000	0.000	0.000	0.282	0.000	0.000	0.000	0.000	0.000	0.040	0.125	0.000	0.270	1.000	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.098	0.134	0.100	0.035	0.114	0.267	0.275	0.000	0.000	0.095	0.000	0.021	0.204	0.000	0.000	0.000	0.305	0.000	0.000	0.061	0.475	0.000	0.000	0.059	0.000	0.051	0.291	0.066	0.109	0.087	0.000	0.000	0.000	0.000	0.068	0.044	0.000	0.000	0.022	0.000	0.061	0.177	0.000	0.122	0.000	0.000	0.000	0.000	0.000	0.000	0.035	0.063	0.000	0.000	0.031	0.000	0.000	0.140	0.113	0.000	0.294	0.000	0.000	0.000	0.192	0.000	0.000	0.000	0.000
strawberry	0.000	0.000	0.000	0.000	0.016	0.104	0.097	0.000	0.000	0.126	0.000	0.000	0.012	0.000	0.016	0.000	0.021	0.000	0.046	0.121	0.044	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.297	0.000	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.000	0.021	0.092	0.000	0.019	0.000	0.033	0.000	0.000	0.027	0.031	0.000	0.139	0.028	0.025	0.000	0.000	0.018	0.025	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.045	0.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.000	0.018	0.000	0.000	0.000	0.689	0.000	0.000	0.000	0.053	0.000	0.000	0.000	0.112	0.000	0.026	0.000	0.000	0.123	0.000	0.000	0.000	0.106	0.034	0.095	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.148	0.000	0.122	0.000	0.000	0.024	0.000	0.000	0.000	0.000	0.037	0.000	0.000	0.023	0.000	0.000	0.206	0.000	0.077
submarine	0.000	0.000	0.000	0.000	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.071	0.000	0.103	0.154	0.067	0.117	0.000	0.044	0.000	0.041	0.000	0.033	0.000	0.000	0.052	0.269	0.247	0.000	0.000	0.115	0.058	0.065	0.039	0.064	0.082	0.000	0.031	0.000	0.037	0.038	0.178	0.128	0.000	0.000	0.000	0.000	0.000	0.108	0.000	0.084	0.000	0.032	0.000	0.089	0.000	0.000	0.000	0.000	0.000	0.000	0.064	0.049	0.031	0.122	0.000	1.000	0.094	0.060	0.000	0.000	0.000	0.112	0.000	0.079	0.000	0.416	0.206	0.119	0.000	0.093	0.000	0.000	0.000	0.131	0.000	0.040	0.000	0.057	0.000	0.049	0.000	0.197	0.037	0.000	0.141	0.063	0.098	0.079	0.085	0.086	0.221	0.088	0.000	0.000	0.190	0.054	0.181	0.055	0.082	0.000	0.000	0.048	0.134	0.041	0.064	0.147	0.000	0.000	0.000	0.000	0.068	0.058	0.000	0.000	0.162	0.000	0.000	0.198	0.033	0.122	0.000	0.127	0.075	0.000	0.000	0.151	0.227	0.000	0.000	0.000
